Date,Value,year,month
195104,55.1,1951,4
195105,61.3,1951,5
195106,68.5,1951,6
195107,74.7,1951,7
195108,73.1,1951,8
195109,70.7,1951,9
195110,58.6,1951,10
195111,49.1,1951,11
195112,40.8,1951,12
195201,38.7,1952,1
195202,44.0,1952,2
195203,43.6,1952,3
195204,54.4,1952,4
195205,63.0,1952,5
195206,64.3,1952,6
195207,75.6,1952,7
195208,74.3,1952,8
195209,70.6,1952,9
195210,63.7,1952,10
195211,46.7,1952,11
195212,42.2,1952,12
195301,47.0,1953,1
195302,45.3,1953,2
195303,48.1,1953,3
195304,52.7,1953,4
195305,55.4,1953,5
195306,64.5,1953,6
195307,76.2,1953,7
195308,71.8,1953,8
195309,71.0,1953,9
195310,58.9,1953,10
195311,51.2,1953,11
195312,44.0,1953,12
195401,42.7,1954,1
195402,48.7,1954,2
195403,46.0,1954,3
195404,57.5,1954,4
195405,63.6,1954,5
195406,66.4,1954,6
195407,75.8,1954,7
195408,70.4,1954,8
195409,67.4,1954,9
195410,59.3,1954,10
195411,51.3,1954,11
195412,41.8,1954,12
195501,38.0,1955,1
195502,41.7,1955,2
195503,48.0,1955,3
195504,49.6,1955,4
195505,59.6,1955,5
195506,67.2,1955,6
195507,71.7,1955,7
195508,74.9,1955,8
195509,69.3,1955,9
195510,61.0,1955,10
195511,48.4,1955,11
195512,45.1,1955,12
195601,44.4,1956,1
195602,40.7,1956,2
195603,49.0,1956,3
195604,53.2,1956,4
195605,60.8,1956,5
195606,68.7,1956,6
195607,74.1,1956,7
195608,71.4,1956,8
195609,70.2,1956,9
195610,57.4,1956,10
195611,49.8,1956,11
195612,43.9,1956,12
195701,38.7,1957,1
195702,48.1,1957,2
195703,49.7,1957,3
195704,54.0,1957,4
195705,58.9,1957,5
195706,71.3,1957,6
195707,74.7,1957,7
195708,72.1,1957,8
195709,69.3,1957,9
195710,56.7,1957,10
195711,47.2,1957,11
195712,44.4,1957,12
195801,44.0,1958,1
195802,48.4,1958,2
195803,44.7,1958,3
195804,53.2,1958,4
195805,64.1,1958,5
195806,67.9,1958,6
195807,74.3,1958,7
195808,77.1,1958,8
195809,70.4,1958,9
195810,63.6,1958,10
195811,50.5,1958,11
195812,48.5,1958,12
195901,45.7,1959,1
195902,43.5,1959,2
195903,52.1,1959,3
195904,58.8,1959,4
195905,59.3,1959,5
195906,71.0,1959,6
195907,78.1,1959,7
195908,73.7,1959,8
195909,67.2,1959,9
195910,62.1,1959,10
195911,51.7,1959,11
195912,44.2,1959,12
196001,40.3,1960,1
196002,44.0,1960,2
196003,51.9,1960,3
196004,54.8,1960,4
196005,60.1,1960,5
196006,73.1,1960,6
196007,77.2,1960,7
196008,73.9,1960,8
196009,70.8,1960,9
196010,59.3,1960,10
196011,48.2,1960,11
196012,43.0,1960,12
196101,44.3,1961,1
196102,47.3,1961,2
196103,48.2,1961,3
196104,55.4,1961,4
196105,58.5,1961,5
196106,72.4,1961,6
196107,76.8,1961,7
196108,75.3,1961,8
196109,66.6,1961,9
196110,59.4,1961,10
196111,47.6,1961,11
196112,41.9,1961,12
196201,41.3,1962,1
196202,43.6,1962,2
196203,45.0,1962,3
196204,58.2,1962,4
196205,58.0,1962,5
196206,68.2,1962,6
196207,73.8,1962,7
196208,73.8,1962,8
196209,69.6,1962,9
196210,59.8,1962,10
196211,51.7,1962,11
196212,45.5,1962,12
196301,40.5,1963,1
196302,52.0,1963,2
196303,47.1,1963,3
196304,49.0,1963,4
196305,61.4,1963,5
196306,65.8,1963,6
196307,72.4,1963,7
196308,72.8,1963,8
196309,70.7,1963,9
196310,61.0,1963,10
196311,49.2,1963,11
196312,43.1,1963,12
196401,41.0,1964,1
196402,44.0,1964,2
196403,46.2,1964,3
196404,52.5,1964,4
196405,58.2,1964,5
196406,66.3,1964,6
196407,74.8,1964,7
196408,74.0,1964,8
196409,66.9,1964,9
196410,63.8,1964,10
196411,46.1,1964,11
196412,45.0,1964,12
196501,43.6,1965,1
196502,45.7,1965,2
196503,48.4,1965,3
196504,52.8,1965,4
196505,59.3,1965,5
196506,64.7,1965,6
196507,73.3,1965,7
196508,73.7,1965,8
196509,64.6,1965,9
196510,63.0,1965,10
196511,50.7,1965,11
196512,40.6,1965,12
196601,40.8,1966,1
196602,42.1,1966,2
196603,49.9,1966,3
196604,57.8,1966,4
196605,63.8,1966,5
196606,68.8,1966,6
196607,72.9,1966,7
196608,75.8,1966,8
196609,69.0,1966,9
196610,60.4,1966,10
196611,51.0,1966,11
196612,43.8,1966,12
196701,43.5,1967,1
196702,46.6,1967,2
196703,48.0,1967,3
196704,44.9,1967,4
196705,60.8,1967,5
196706,66.1,1967,6
196707,76.8,1967,7
196708,77.8,1967,8
196709,70.8,1967,9
196710,61.6,1967,10
196711,53.4,1967,11
196712,39.6,1967,12
196801,41.7,1968,1
196802,50.1,1968,2
196803,50.4,1968,3
196804,54.0,1968,4
196805,60.5,1968,5
196806,70.0,1968,6
196807,75.4,1968,7
196808,70.9,1968,8
196809,69.1,1968,9
196810,59.4,1968,10
196811,49.6,1968,11
196812,40.0,1968,12
196901,42.8,1969,1
196902,41.5,1969,2
196903,47.0,1969,3
196904,53.4,1969,4
196905,63.7,1969,5
196906,66.8,1969,6
196907,75.2,1969,7
196908,76.1,1969,8
196909,70.9,1969,9
196910,56.4,1969,10
196911,51.0,1969,11
196912,45.1,1969,12
197001,44.7,1970,1
197002,48.3,1970,2
197003,49.4,1970,3
197004,49.9,1970,4
197005,62.7,1970,5
197006,69.4,1970,6
197007,76.5,1970,7
197008,75.1,1970,8
197009,67.7,1970,9
197010,58.0,1970,10
197011,50.9,1970,11
197012,41.2,1970,12
197101,42.8,1971,1
197102,45.1,1971,2
197103,48.0,1971,3
197104,51.8,1971,4
197105,57.3,1971,5
197106,66.8,1971,6
197107,75.7,1971,7
197108,76.0,1971,8
197109,68.5,1971,9
197110,55.9,1971,10
197111,47.9,1971,11
197112,38.7,1971,12
197201,39.9,1972,1
197202,46.9,1972,2
197203,54.4,1972,3
197204,53.8,1972,4
197205,62.2,1972,5
197206,69.8,1972,6
197207,76.5,1972,7
197208,74.0,1972,8
197209,66.6,1972,9
197210,57.3,1972,10
197211,46.7,1972,11
197212,39.0,1972,12
197301,40.2,1973,1
197302,45.8,1973,2
197303,44.9,1973,3
197304,53.9,1973,4
