Date,Value,year,month
199812,52.8,1998,12
199901,55.4,1999,1
199902,55.1,1999,2
199903,58.6,1999,3
199904,63.2,1999,4
199905,74.1,1999,5
199906,82.3,1999,6
199907,88.1,1999,7
199908,87.1,1999,8
199909,85.6,1999,9
199910,79.0,1999,10
199911,64.6,1999,11
199912,57.0,1999,12
200001,54.9,2000,1
200002,56.0,2000,2
200003,61.7,2000,3
200004,71.1,2000,4
200005,77.3,2000,5
200006,87.0,2000,6
200007,88.5,2000,7
200008,89.8,2000,8
200009,83.6,2000,9
200010,70.2,2000,10
200011,57.2,2000,11
200012,57.7,2000,12
200101,52.6,2001,1
200102,52.6,2001,2
200103,64.3,2001,3
200104,64.4,2001,4
200105,83.8,2001,5
200106,86.3,2001,6
200107,88.8,2001,7
200108,91.4,2001,8
200109,86.1,2001,9
200110,77.5,2001,10
200111,61.7,2001,11
200112,51.2,2001,12
200201,52.5,2002,1
200202,60.7,2002,2
200203,61.0,2002,3
200204,68.7,2002,4
200205,75.5,2002,5
200206,86.5,2002,6
200207,92.6,2002,7
200208,90.0,2002,8
200209,86.0,2002,9
200210,73.2,2002,10
200211,64.0,2002,11
200212,52.9,2002,12
200301,60.1,2003,1
200302,56.2,2003,2
200303,63.0,2003,3
200304,60.7,2003,4
200305,75.4,2003,5
200306,86.1,2003,6
200307,93.8,2003,7
200308,89.2,2003,8
200309,88.0,2003,9
200310,80.2,2003,10
200311,56.7,2003,11
200312,52.8,2003,12
200401,53.0,2004,1
200402,53.6,2004,2
200403,70.2,2004,3
200404,70.7,2004,4
200405,77.2,2004,5
200406,85.2,2004,6
200407,91.0,2004,7
200408,89.7,2004,8
200409,84.5,2004,9
200410,69.9,2004,10
200411,57.9,2004,11
200412,54.1,2004,12
200501,52.4,2005,1
200502,56.1,2005,2
200503,62.2,2005,3
200504,65.6,2005,4
200505,74.8,2005,5
200506,79.9,2005,6
200507,93.5,2005,7
200508,91.0,2005,8
200509,81.7,2005,9
200510,73.0,2005,10
200511,64.0,2005,11
200512,55.5,2005,12
200601,54.2,2006,1
200602,60.1,2006,2
200603,53.7,2006,3
200604,63.9,2006,4
200605,78.5,2006,5
200606,87.8,2006,6
200607,94.2,2006,7
200608,89.2,2006,8
200609,84.8,2006,9
200610,72.2,2006,10
200611,62.2,2006,11
200612,54.7,2006,12
200701,53.6,2007,1
200702,57.0,2007,2
200703,68.0,2007,3
200704,69.4,2007,4
200705,78.6,2007,5
200706,85.9,2007,6
200707,91.8,2007,7
200708,91.1,2007,8
200709,81.5,2007,9
200710,71.1,2007,10
200711,65.6,2007,11
200712,50.7,2007,12
200801,49.7,2008,1
200802,56.9,2008,2
200803,63.1,2008,3
200804,68.4,2008,4
200805,75.1,2008,5
200806,86.7,2008,6
200807,91.4,2008,7
200808,91.6,2008,8
200809,87.3,2008,9
200810,76.1,2008,10
200811,64.9,2008,11
200812,51.7,2008,12
200901,58.2,2009,1
200902,55.1,2009,2
200903,61.4,2009,3
200904,67.9,2009,4
200905,80.6,2009,5
200906,80.7,2009,6
200907,93.0,2009,7
200908,90.2,2009,8
200909,88.4,2009,9
200910,70.8,2009,10
200911,63.2,2009,11
200912,51.3,2009,12
201001,53.7,2010,1
201002,56.1,2010,2
201003,60.9,2010,3
201004,62.8,2010,4
201005,69.8,2010,5
201006,83.2,2010,6
201007,91.0,2010,7
201008,88.6,2010,8
201009,86.0,2010,9
201010,71.9,2010,10
201011,59.6,2010,11
201012,53.8,2010,12
201101,55.7,2011,1
201102,54.6,2011,2
201103,58.9,2011,3
201104,65.7,2011,4
201105,70.3,2011,5
201106,80.5,2011,6
201107,88.4,2011,7
201108,90.5,2011,8
201109,87.2,2011,9
201110,74.3,2011,10
201111,58.9,2011,11
201112,55.0,2011,12
201201,58.6,2012,1
201202,58.0,2012,2
201203,60.4,2012,3
201204,68.4,2012,4
201205,78.6,2012,5
201206,84.3,2012,6
201207,89.6,2012,7
201208,92.8,2012,8
201209,88.3,2012,9
201210,75.4,2012,10
201211,63.6,2012,11
201212,51.8,2012,12
201301,53.2,2013,1
201302,57.6,2013,2
201303,66.5,2013,3
201304,71.7,2013,4
201305,77.5,2013,5
201306,87.2,2013,6
201307,92.7,2013,7
201308,89.0,2013,8
201309,83.1,2013,9
201310,72.5,2013,10
201311,63.7,2013,11
201312,56.2,2013,12
201401,63.0,2014,1
201402,60.6,2014,2
201403,65.3,2014,3
201404,71.0,2014,4
201405,78.8,2014,5
201406,87.1,2014,6
201407,92.7,2014,7
201408,89.0,2014,8
201409,86.2,2014,9
201410,78.1,2014,10
201411,64.2,2014,11
201412,54.6,2014,12
201501,59.4,2015,1
201502,65.0,2015,2
201503,70.2,2015,3
201504,70.3,2015,4
201505,73.2,2015,5
201506,89.1,2015,6
201507,88.5,2015,7
201508,91.0,2015,8
201509,86.2,2015,9
201510,77.5,2015,10
201511,59.0,2015,11
201512,51.7,2015,12
201601,52.9,2016,1
201602,64.2,2016,2
201603,63.7,2016,3
201604,70.4,2016,4
201605,74.8,2016,5
201606,88.3,2016,6
201607,91.9,2016,7
201608,91.2,2016,8
201609,84.2,2016,9
201610,72.0,2016,10
201611,63.7,2016,11
201612,53.0,2016,12
201701,50.3,2017,1
201702,55.6,2017,2
201703,65.1,2017,3
201704,67.7,2017,4
201705,77.2,2017,5
201706,87.3,2017,6
201707,93.7,2017,7
